experiment,clients,runtime,requests,median,mean,sd
control,6,10,1116, 50.0  , 51.2  ,16.56695
control,6,10,1409, 39.00  , 40.51  ,13.69416
control,6,10,1240, 45.00  , 46.78  ,12.36465
control,6,10,1471, 38.00  , 39.14  ,10.24421
control,6,10,1419, 39.00  , 40.39  ,12.83398
control-low,4,10,1478, 37.00  , 38.64  ,13.324
control-low,4,10,1417, 38.00  , 40.35  ,18.15091
control-low,4,10,1277, 43.0  , 44.9  ,14.85571
control-low,4,10,1514, 37.00  , 37.71  ,12.26991
control-low,4,10,1487, 37.00  , 38.47  ,12.5261
control-med,40,10,3623,106.0  ,102.6  ,28.60879
control-med,40,10,3298,117.0  ,114.4  ,32.69875
control-med,40,10,3084,125.0  ,122.9  ,33.33962
control-med,40,10,3610,105.0  ,103.1  ,28.27564
control-med,40,10,3295,117.0  ,114.1  ,30.96125
control-high,400,10,4555, 756.0  , 795.4  ,374.1855
control-high,400,10,5216, 638.0  , 655.7  ,295.9995
control-high,400,10,4272, 782.0  , 812.3  ,379.4214
control-high,400,10,5189, 622.0  , 673.7  ,293.9246
control-high,400,10,4336, 759.0  , 784.3  ,355.264
SL-Sample-0-low,4,10,16,1974  ,1974  ,63.61237
SL-Sample-0-low,4,10,16,2036  ,2010  ,50.70236
SL-Sample-0-low,4,10,16,2034  ,2011  ,55.31064
SL-Sample-0-low,4,10,16,1975  ,1973  ,64.31922
SL-Sample-0-low,4,10,16,1972  ,1973  ,66.02168
SL-Sample-0-med,40,10,160,1988  ,1993  ,63.47008
SL-Sample-0-med,40,10,160,2010  ,1994  ,70.30973
SL-Sample-0-med,40,10,160,2005  ,1994  ,67.75672
SL-Sample-0-med,40,10,160,2014  ,1997  ,63.93323
SL-Sample-0-med,40,10,160,2044  ,2024  ,54.11114
SL-Sample-0-high,400,10,1608,2059  ,2085  ,116.9287
SL-Sample-0-high,400,10,1601,2053  ,2050  ,88.76442
SL-Sample-0-high,400,10,1600,2031  ,2067  ,154.7772
SL-Sample-0-high,400,10,1602,2063  ,2066  ,100.5515
SL-Sample-0-high,400,10,1608,2044  ,2054  ,122.8091
SL-Sample-10-low,4,10,80,  47.0  , 386.6  ,1130.846
SL-Sample-10-low,4,10,22,1903  ,1643  ,1797.749
SL-Sample-10-low,4,10,136,  53  , 252  ,881.8249
SL-Sample-10-low,4,10,175,  64.0  , 213.6  ,715.9329
SL-Sample-10-low,4,10,189,  66.0  , 176.1  ,648.3907
SL-Sample-10-med,40,10,128,2056  ,2798  ,1528.5
SL-Sample-10-med,40,10,296, 255  ,1245  ,1320.01
SL-Sample-10-med,40,10,170,1919  ,2086  ,1511.348
SL-Sample-10-med,40,10,167,1941  ,2040  ,1188.773
SL-Sample-10-med,40,10,138,2044  ,2464  ,1114.268
SL-Sample-10-high,400,10,1559,2079  ,2222  ,815.9659
SL-Sample-10-high,400,10,1590,2066  ,2088  ,328.6777
SL-Sample-10-high,400,10,1584,2067  ,2124  ,408.7324
SL-Sample-10-high,400,10,1597,2058  ,2076  ,411.9404
SL-Sample-10-high,400,10,1599,2025  ,2059  ,327.6221
SL-Sample-100-low,4,10,708, 36.00  , 38.08  ,11.38673
SL-Sample-100-low,4,10,992, 36.00  , 38.22  ,13.57453
SL-Sample-100-low,4,10,368,  37.5  ,  92.4  ,507.092
SL-Sample-100-low,4,10,962, 37.00  , 39.61  ,14.59018
SL-Sample-100-low,4,10,462,  38.00  ,  82.27  ,452.6873
SL-Sample-100-med,40,10,1131, 140.0  , 303.9  ,891.1566
SL-Sample-100-med,40,10,418, 163.0  , 789.7  ,1465.312
SL-Sample-100-med,40,10,368, 148  ,1022  ,1412.887
SL-Sample-100-med,40,10,1325,  99.0  , 255.5  ,698.3494
SL-Sample-100-med,40,10,582, 101.00  , 567.38  ,1283.085
SL-Sample-100-high,400,10,2578, 630  ,1285  ,1147.555
SL-Sample-100-high,400,10,1384,2074  ,2638  ,1577.497
SL-Sample-100-high,400,10,1861, 994  ,1943  ,1672.45
SL-Sample-100-high,400,10,1465,1967  ,2319  ,1622.424
SL-Sample-100-high,400,10,1569,2070  ,2168  ,704.3096
SL-Sample-100-low,4,10,969, 37.00  , 38.49  ,13.54401
SL-Sample-100-low,4,10,137,  37.0  , 239.8  ,881.5434
SL-Sample-100-low,4,10,979, 37.00  , 38.94  ,13.54384
SL-Sample-100-low,4,10,719, 52.00  , 53.73  ,15.4995
SL-Sample-100-low,4,10,716, 38.00  , 39.82  ,12.16903
SL-Sample-100-low,4,10,16,2028  ,2002  ,50.62394
SL-Sample-100-low,4,10,16,1982  ,1980  ,60.2969
SL-Sample-100-low,4,10,16,2036  ,2010  ,55.58083
SL-Sample-100-low,4,10,16,1984  ,1979  ,62.39645
SL-Sample-100-low,4,10,16,1972  ,1974  ,59.95439
