C {"C":1}
Initialization Complete
C {"C":2}
Sending from C
C {"C":3}
Sending from C
C {"A":4, "C":4}
Received on C
C {"A":5, "C":5}
Received on C
C {"A":5, "C":6}
Sending from C
C {"A":5, "C":7}
Sending from C
C {"A":5, "C":8}
Sending from C
C {"A":5, "C":9}
Sending from C
C {"A":10, "C":10}
Received on C
C {"A":12, "C":11}
Received on C
C {"A":14, "C":12}
Received on C
C {"A":14, "C":13}
Sending from C
C {"A":14, "C":14}
Sending from C
C {"A":14, "C":15}
Sending from C
C {"A":14, "C":16}
Sending from C
C {"A":14, "C":17}
Sending from C
C {"A":14, "C":18}
Sending from C
C {"A":30, "C":19}
Received on C
C {"A":30, "C":20}
Sending from C
C {"A":34, "C":21}
Received on C
C {"A":34, "C":22}
Sending from C
C {"A":34, "C":23}
Sending from C
C {"A":34, "C":24}
Sending from C
C {"A":39, "C":25}
Received on C
C {"A":39, "C":26}
Sending from C
C {"A":39, "C":27}
Sending from C
C {"A":39, "C":28}
Sending from C
C {"A":39, "C":29}
Sending from C
C {"A":39, "C":30}
Sending from C
C {"A":52, "C":31}
Received on C
C {"A":52, "C":32}
Sending from C
C {"A":52, "C":33}
Sending from C
C {"A":52, "C":34}
Sending from C
C {"A":52, "C":35}
Sending from C
C {"A":62, "C":36}
Received on C
C {"A":62, "C":37}
Sending from C
C {"A":62, "C":38}
Sending from C
C {"A":62, "C":39}
Sending from C
C {"A":62, "C":40}
Sending from C
C {"A":74, "C":41}
Received on C
C {"A":74, "C":42}
Sending from C
C {"A":74, "C":43}
Sending from C
C {"A":74, "C":44}
Sending from C
C {"A":74, "C":45}
Sending from C
C {"A":85, "C":46}
Received on C
C {"A":85, "C":47}
Sending from C
C {"A":85, "C":48}
Sending from C
C {"A":85, "C":49}
Sending from C
C {"A":93, "C":50}
Received on C
C {"A":93, "C":51}
Sending from C
C {"A":93, "C":52}
Sending from C
C {"A":93, "C":53}
Sending from C
C {"A":93, "C":54}
Sending from C
C {"A":106, "C":55}
Received on C
C {"A":106, "C":56}
Sending from C
C {"A":106, "C":57}
Sending from C
C {"A":106, "C":58}
Sending from C
C {"A":106, "C":59}
Sending from C
C {"A":106, "C":60}
Sending from C
C {"A":120, "C":61}
Received on C
C {"A":120, "C":62}
Sending from C
C {"A":126, "C":63}
Received on C
C {"A":126, "C":64}
Sending from C
C {"A":126, "C":65}
Sending from C
C {"A":126, "C":66}
Sending from C
C {"A":126, "C":67}
Sending from C
C {"A":126, "C":68}
Sending from C
C {"A":138, "C":69}
Received on C
C {"A":138, "C":70}
Sending from C
C {"A":138, "C":71}
Sending from C
C {"A":138, "C":72}
Sending from C
C {"A":138, "C":73}
Sending from C
C {"A":147, "C":74}
Received on C
C {"A":147, "C":75}
Sending from C
C {"A":147, "C":76}
Sending from C
C {"A":147, "C":77}
Sending from C
C {"A":147, "C":78}
Sending from C
C {"A":160, "C":79}
Received on C
C {"A":160, "C":80}
Sending from C
C {"A":160, "C":81}
Sending from C
C {"A":160, "C":82}
Sending from C
C {"A":160, "C":83}
Sending from C
C {"A":160, "C":84}
Sending from C
C {"A":160, "C":85}
Sending from C
C {"A":174, "C":86}
Received on C
C {"A":174, "C":87}
Sending from C
C {"A":179, "C":88}
Received on C
C {"A":179, "C":89}
Sending from C
C {"A":179, "C":90}
Sending from C
C {"A":186, "C":91}
Received on C
C {"A":186, "C":92}
Sending from C
C {"A":186, "C":93}
Sending from C
C {"A":186, "C":94}
Sending from C
C {"A":191, "C":95}
Received on C
C {"A":195, "C":96}
Received on C
C {"A":195, "C":97}
Sending from C
C {"A":195, "C":98}
Sending from C
C {"A":195, "C":99}
Sending from C
C {"A":195, "C":100}
Sending from C
C {"A":195, "C":101}
Sending from C
C {"A":195, "C":102}
Sending from C
C {"A":210, "C":103}
Received on C
